experiment,seed,fold,sample_index,prediction,positive_class,top_contributions,expected_value
boosting_suite_catboost_baseline,42,-1,19,24.506692623545526,regression,"[('date', 0.035691903226137356)]",24.471000720319388
boosting_suite_catboost_baseline,42,-1,42,24.506692623545526,regression,"[('date', 0.035691903226137356)]",24.471000720319388
boosting_suite_catboost_baseline,42,-1,153,24.506692623545526,regression,"[('date', 0.035691903226137356)]",24.471000720319388
boosting_suite_catboost_baseline,42,-1,78,24.506692623545526,regression,"[('date', 0.035691903226137356)]",24.471000720319388
boosting_suite_catboost_baseline,42,-1,145,24.506692623545526,regression,"[('date', 0.035691903226137356)]",24.471000720319388
boosting_suite_catboost_baseline,42,-1,19,24.437451522405322,regression,"[('date', -0.052521709080224355)]",24.489973231485546
boosting_suite_catboost_baseline,42,-1,42,22.563417865689736,regression,"[('date', -1.92655536579581)]",24.489973231485546
boosting_suite_catboost_baseline,42,-1,153,26.206225379644415,regression,"[('date', 1.716252148158869)]",24.489973231485546
boosting_suite_catboost_baseline,42,-1,78,23.67802562438913,regression,"[('date', -0.8119476070964176)]",24.489973231485546
boosting_suite_catboost_baseline,42,-1,145,27.83262193953792,regression,"[('date', 3.342648708052373)]",24.489973231485546
boosting_suite_catboost_baseline,42,-1,19,24.550837041323877,regression,"[('date', -0.02878873362070067)]",24.579625774944578
boosting_suite_catboost_baseline,42,-1,42,22.50863678915951,regression,"[('date', -2.0709889857850676)]",24.579625774944578
boosting_suite_catboost_baseline,42,-1,153,26.254086480616092,regression,"[('date', 1.674460705671514)]",24.579625774944578
boosting_suite_catboost_baseline,42,-1,78,23.632857007914996,regression,"[('date', -0.9467687670295817)]",24.579625774944578
boosting_suite_catboost_baseline,42,-1,145,27.890041047660606,regression,"[('date', 3.3104152727160283)]",24.579625774944578
boosting_suite_catboost_baseline,42,-1,19,24.481646438436975,regression,"[('date', -0.027015510095949935)]",24.508661948532925
boosting_suite_catboost_baseline,42,-1,42,22.59725095978979,regression,"[('date', -1.9114109887431354)]",24.508661948532925
boosting_suite_catboost_baseline,42,-1,153,26.164157877432487,regression,"[('date', 1.6554959288995619)]",24.508661948532925
